date;day;description;transferred
2013-08-15;Thursday;Independence Day;Gazetted Holiday
2013-08-18;Sunday;Parsi New Year;Restricted Holiday
2013-08-20;Tuesday;Raksha Bandhan (Rakhi);Restricted Holiday
2013-08-28;Wednesday;Janmashtami;Gazetted Holiday
2013-09-09;Monday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2013-09-16;Monday;Onam;Restricted Holiday
2013-09-23;Monday;September Equinox;Season
2013-10-02;Wednesday;Mahatma Gandhi Jayanti;Gazetted Holiday
2013-10-11;Friday;Maha Saptami;Restricted Holiday
2013-10-12;Saturday;Maha Ashtami;Restricted Holiday
2013-10-13;Sunday;Dussehra;Gazetted Holiday
2013-10-16;Wednesday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2013-10-18;Friday;Maharishi Valmiki Jayanti;Restricted Holiday
2013-10-22;Tuesday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2013-10-31;Thursday;Halloween;Observance
2013-11-02;Saturday;Naraka Chaturdasi;Restricted Holiday
2013-11-03;Sunday;Diwali/Deepavali;Gazetted Holiday
2013-11-04;Monday;Govardhan Puja;Restricted Holiday
2013-11-05;Tuesday;Bhai Duj;Restricted Holiday
2013-11-08;Friday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2013-11-14;Thursday;Muharram/Ashura;Gazetted Holiday
2013-11-17;Sunday;Guru Nanak Jayanti;Gazetted Holiday
2013-11-24;Sunday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2013-11-28;Thursday;First Day of Hanukkah;Observance
2013-12-05;Thursday;Last day of Hanukkah;Observance
2013-12-21;Saturday;December Solstice;Season
2013-12-24;Tuesday;Christmas Eve;Restricted Holiday
2013-12-25;Wednesday;Christmas;Gazetted Holiday
2013-12-31;Tuesday;New Year's Eve;Observance
2014-01-01;Wednesday;New Year's Day;Restricted Holiday
2014-01-07;Tuesday;Guru Govind Singh Jayanti;Restricted Holiday
2014-01-14;Tuesday;Pongal;Restricted Holiday
2014-01-14;Tuesday;Makar Sankranti;Restricted Holiday
2014-01-14;Tuesday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2014-01-26;Sunday;Republic Day;Gazetted Holiday
2014-01-31;Friday;Chinese New Year;Observance
2014-02-04;Tuesday;Vasant Panchami;Restricted Holiday
2014-02-14;Friday;Guru Ravidas Jayanti;Restricted Holiday
2014-02-14;Friday;Valentine's Day;Observance
2014-02-19;Wednesday;Shivaji Jayanti;Restricted Holiday
2014-02-24;Monday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2014-02-27;Thursday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2014-03-16;Sunday;Holi;Gazetted Holiday
2014-03-16;Sunday;Holika Dahana;Restricted Holiday
2014-03-17;Monday;Holi;Restricted Holiday
2014-03-20;Thursday;March Equinox;Season
2014-03-31;Monday;Chaitra Sukhladi;Restricted Holiday
2014-04-08;Tuesday;Rama Navami;Gazetted Holiday
2014-04-13;Sunday;Mahavir Jayanti;Gazetted Holiday
2014-04-14;Monday;Vaisakhi;Restricted Holiday
2014-04-14;Monday;Ambedkar Jayanti;Observance
2014-04-15;Tuesday;First day of Passover;Observance
2014-04-15;Tuesday;Mesadi/Vaisakhadi;Restricted Holiday
2014-04-17;Thursday;Maundy Thursday;Observance, Christian
2014-04-18;Friday;Good Friday;Gazetted Holiday
2014-04-20;Sunday;Easter Day;Restricted Holiday
2014-05-01;Thursday;May Day;Observance
2014-05-09;Friday;Birthday of Ravindranath;Restricted Holiday
2014-05-11;Sunday;Mother's Day;Observance
2014-05-13;Tuesday;Hazarat Ali's Birthday;Restricted Holiday
2014-05-14;Wednesday;Buddha Purnima/Vesak;Gazetted Holiday
2014-06-15;Sunday;Father's Day;Observance
2014-06-21;Saturday;June Solstice;Season
2014-06-29;Sunday;Rath Yatra;Restricted Holiday
2014-07-25;Friday;Jamat Ul-Vida;Restricted Holiday
2014-07-29;Tuesday;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
2014-08-03;Sunday;Friendship Day;Observance
2014-08-10;Sunday;Raksha Bandhan (Rakhi);Restricted Holiday
2014-08-15;Friday;Independence Day;Gazetted Holiday
2014-08-17;Sunday;Janmashtami;Gazetted Holiday
2014-08-18;Monday;Parsi New Year;Restricted Holiday
2014-08-29;Friday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2014-09-07;Sunday;Onam;Restricted Holiday
2014-09-23;Tuesday;September Equinox;Season
2014-10-01;Wednesday;Maha Saptami;Restricted Holiday
2014-10-02;Thursday;Mahatma Gandhi Jayanti;Gazetted Holiday
2014-10-02;Thursday;Maha Ashtami;Restricted Holiday
2014-10-03;Friday;Dussehra;Gazetted Holiday
2014-10-06;Monday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2014-10-11;Saturday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2014-10-22;Wednesday;Naraka Chaturdasi;Restricted Holiday
2014-10-23;Thursday;Diwali/Deepavali;Gazetted Holiday
2014-10-24;Friday;Govardhan Puja;Restricted Holiday
2014-10-25;Saturday;Bhai Duj;Restricted Holiday
2014-10-29;Wednesday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2014-10-31;Friday;Halloween;Observance
2014-11-04;Tuesday;Muharram/Ashura;Gazetted Holiday
2014-11-06;Thursday;Guru Nanak Jayanti;Gazetted Holiday
2014-11-24;Monday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2014-12-17;Wednesday;First Day of Hanukkah;Observance
2014-12-22;Monday;December Solstice;Season
2014-12-24;Wednesday;Last day of Hanukkah;Observance
2014-12-24;Wednesday;Christmas Eve;Restricted Holiday
2014-12-25;Thursday;Christmas;Gazetted Holiday
2014-12-31;Wednesday;New Year's Eve;Observance
2015-01-01;Thursday;New Year's Day;Restricted Holiday
2015-01-04;Sunday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2015-01-05;Monday;Guru Govind Singh Jayanti;Restricted Holiday
2015-01-14;Wednesday;Makar Sankranti;Restricted Holiday
2015-01-15;Thursday;Pongal;Restricted Holiday
2015-01-22;Thursday;Beti Bachao, Beti Padhao Campaign Launch Day;Observance
2015-01-24;Saturday;Vasant Panchami;Restricted Holiday
2015-01-26;Monday;Republic Day;Gazetted Holiday
2015-02-03;Tuesday;Guru Ravidas Jayanti;Restricted Holiday
2015-02-14;Saturday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2015-02-14;Saturday;Valentine's Day;Observance
2015-02-17;Tuesday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2015-02-19;Thursday;Shivaji Jayanti;Restricted Holiday
2015-02-19;Thursday;Chinese New Year;Observance
2015-03-05;Thursday;Holika Dahana;Restricted Holiday
2015-03-06;Friday;Holi;Restricted Holiday
2015-03-21;Saturday;March Equinox;Season
2015-03-21;Saturday;Chaitra Sukhladi;Restricted Holiday
2015-03-28;Saturday;Rama Navami;Gazetted Holiday
2015-04-02;Thursday;Maundy Thursday;Observance, Christian
2015-04-02;Thursday;Mahavir Jayanti;Gazetted Holiday
2015-04-03;Friday;Good Friday;Gazetted Holiday
2015-04-04;Saturday;First day of Passover;Observance
2015-04-05;Sunday;Easter Day;Restricted Holiday
2015-04-14;Tuesday;Vaisakhi;Restricted Holiday
2015-04-14;Tuesday;Ambedkar Jayanti;Observance
2015-04-15;Wednesday;Mesadi/Vaisakhadi;Restricted Holiday
2015-05-01;Friday;May Day;Observance
2015-05-03;Sunday;Hazarat Ali's Birthday;Restricted Holiday
